# distance_m=257.0
# duration_s=181
# pace=11:44 / km
t,roll,pitch,yaw,tempC,cadence,strideM,deltaH,label
42.600,9.200,-1.374,-68.247,28.69,57.6,0.074,,walking
42.700,32.265,-1.649,57.030,28.69,57.6,0.074,,walking
42.800,57.451,-7.580,111.312,28.69,57.6,0.074,,walking
42.900,80.762,-18.434,130.037,28.69,57.6,0.074,,walking
43.000,98.616,-29.851,134.272,28.69,57.6,0.074,,walking
43.100,98.999,-40.541,141.794,28.69,57.6,0.074,,walking
43.200,90.191,-38.048,153.560,28.69,57.6,0.074,,walking
43.300,73.609,-23.818,47.831,28.69,57.6,0.074,,walking
43.400,55.654,-10.984,-64.947,28.69,57.6,0.074,,walking
43.500,39.671,-3.288,-113.427,28.69,57.6,0.074,,walking
43.600,19.218,1.774,-132.391,28.69,57.6,0.074,,walking
43.700,-3.060,,,,,,,walking
43.800,5.364,-1.307,-152.556,28.68,57.6,0.074,,walking
43.900,28.045,-7.634,16.535,28.68,57.6,0.074,,walking
44.000,54.323,-13.076,88.306,28.68,57.6,0.074,,walking
44.100,73.330,-20.691,116.544,28.68,57.6,0.074,,walking
44.200,85.743,-27.628,129.185,28.67,57.6,0.074,,walking
44.300,87.375,-34.087,143.008,28.67,57.6,0.074,,walking
44.400,82.525,-36.013,159.276,28.67,57.6,0.074,,walking
44.500,62.093,-32.243,-16.193,28.67,57.6,0.074,,walking
44.600,50.527,-17.326,-94.756,28.67,57.6,0.074,,walking
44.700,32.166,-3.049,-130.646,28.67,57.6,0.074,,walking
44.800,10.835,5.580,-143.859,28.66,57.6,0.074,,walking
44.900,-1.842,11.471,-150.853,28.67,57.6,0.074,,walking
45.000,4.525,5.853,-162.761,28.66,57.6,0.074,,walking
45.100,22.206,1.814,9.160,28.66,57.6,0.074,,walking
45.200,48.669,-0.553,80.523,28.66,57.6,0.074,,walking
45.300,70.185,-14.244,110.208,28.65,57.6,0.074,,walking
45.400,81.272,-25.184,121.216,28.65,57.6,0.074,,walking
45.500,87.489,-33.135,132.821,28.65,57.6,0.074,,walking
45.600,78.787,-33.786,152.716,28.65,57.6,0.074,,walking
45.700,56.134,-27.662,-13.391,28.65,57.6,0.074,,walking
45.800,33.030,-20.630,-78.376,28.65,57.6,0.074,,walking
45.900,11.867,-13.054,-104.453,28.65,57.6,0.074,,walking
46.000,-5.400,-8.379,-114.885,28.65,57.6,0.074,,walking
46.100,-10.125,-5.722,-122.574,28.65,57.6,0.074,,walking
46.200,3.338,-10.481,-3.945,28.65,57.6,0.074,,walking
46.300,26.036,-10.531,61.895,28.65,57.6,0.074,,walking
46.400,53.327,-15.118,85.997,28.64,57.6,0.074,,walking
46.500,66.966,-25.713,94.753,28.64,57.6,0.074,,walking
46.600,72.073,,,,,,,walking
46.700,77.149,-32.849,133.430,28.63,57.6,0.074,,walking
46.800,73.083,-34.105,3.274,28.63,57.6,0.074,,walking
46.900,49.907,-32.143,-75.432,28.63,57.6,0.074,,walking
47.000,31.018,-26.083,-99.346,28.63,57.6,0.074,,walking
47.100,10.019,-25.138,-102.335,28.63,57.6,0.074,,walking
47.200,-0.755,-24.163,-95.738,28.63,57.6,0.074,,walking
47.300,-3.262,-15.315,-77.178,28.63,57.6,0.074,,walking
47.400,-2.805,-5.924,-38.093,28.63,57.6,0.074,,walking
47.500,20.688,-5.528,5.041,28.62,57.6,0.074,,walking
47.600,50.842,-16.770,24.535,28.62,57.6,0.074,,walking
47.700,69.405,-25.748,35.894,28.62,57.6,0.074,,walking
47.800,77.865,-31.558,48.610,28.62,57.6,0.074,,walking
47.900,77.291,-29.278,59.270,28.62,57.6,0.074,,walking
48.000,73.981,-29.476,-0.321,28.62,57.6,0.074,,walking
48.100,58.119,-26.177,-54.964,28.62,57.6,0.074,,walking
48.200,37.666,-23.703,-77.230,28.61,57.6,0.074,,walking
48.300,15.855,-21.916,-84.793,28.61,57.6,0.074,,walking
48.400,1.187,-17.933,-86.624,28.61,57.6,0.074,,walking
48.500,-7.495,-6.920,-69.137,28.61,57.6,0.074,,walking
48.600,-19.016,4.883,-17.651,28.62,57.6,0.074,,walking
48.700,-11.083,13.906,14.436,28.62,57.6,0.074,,walking
48.800,36.723,-1.964,0.666,28.62,57.6,0.074,,walking
48.900,67.103,-23.378,-2.737,28.62,57.6,0.074,,walking
49.000,90.802,-38.599,37.878,28.62,57.6,0.074,,walking
49.100,89.398,-35.401,71.582,28.62,57.6,0.074,,walking
49.200,89.223,-38.154,87.752,28.62,57.6,0.074,,walking
49.300,75.653,-35.571,68.820,28.62,57.6,0.074,,walking
49.400,45.069,-35.887,-33.855,28.61,57.6,0.074,,walking
49.500,26.440,-33.187,-75.753,28.61,57.6,0.074,,walking
49.600,8.504,-29.271,-96.361,28.61,57.6,0.074,,walking
49.700,-1.304,-16.477,-112.002,28.61,57.6,0.074,,walking
49.800,-14.301,1.956,-60.816,28.60,57.6,0.074,,walking
49.900,-16.805,8.228,7.678,28.60,57.6,0.074,,walking
50.000,12.997,3.559,32.897,28.60,57.6,0.074,,walking
50.100,54.711,-4.510,-20.521,28.59,57.6,0.074,,walking
50.200,85.934,-19.101,-80.749,28.59,57.6,0.074,,walking
50.300,101.144,-33.394,26.580,28.59,57.6,0.074,,walking
50.400,97.913,-27.534,75.338,28.58,57.6,0.074,,walking
50.500,93.276,-31.778,100.760,28.58,57.6,0.074,,walking
50.600,78.304,-28.794,129.218,28.57,57.6,0.074,,walking
50.700,51.382,-25.400,-22.195,28.56,57.6,0.074,,walking
50.800,27.131,-23.278,-79.960,28.54,57.6,0.074,,walking
50.900,9.493,-17.472,-106.189,28.53,57.6,0.074,,walking
51.000,-6.669,-6.683,-120.310,28.52,57.6,0.074,,walking
51.100,-21.635,-3.841,3.302,28.51,57.6,0.074,,walking
51.200,-17.931,-0.711,47.781,28.51,57.6,0.074,,walking
51.300,21.579,0.848,51.362,28.49,57.6,0.074,,walking
51.400,67.165,-11.526,-34.283,28.49,57.6,0.074,,walking
51.500,88.114,-22.049,-13.439,28.48,57.6,0.074,,walking
51.600,94.701,-34.332,56.659,28.47,57.6,0.074,,walking
51.700,85.214,-29.206,92.356,28.47,57.6,0.074,,walking
51.800,78.680,-31.925,113.945,28.46,57.6,0.074,,walking
51.900,64.907,-33.120,105.238,28.45,57.6,0.074,,walking
52.000,41.700,-30.419,-31.626,28.44,57.6,0.074,,walking
52.100,26.249,-20.765,-88.198,28.42,57.6,0.074,,walking
52.200,4.891,-13.983,-115.563,28.40,57.6,0.074,,walking
52.300,-9.275,-7.295,-73.786,28.38,57.6,0.074,,walking
52.400,-19.731,-3.307,20.007,28.37,57.6,0.074,,walking
52.500,-4.548,1.767,52.145,28.37,57.6,0.074,,walking
52.600,41.309,-2.268,16.181,28.36,57.6,0.074,,walking
52.700,74.891,-14.717,11.552,28.36,57.6,0.074,,walking
52.800,88.864,-25.443,79.345,28.35,57.6,0.074,,walking
52.900,93.008,-29.545,102.279,28.35,57.6,0.074,,walking
53.000,83.985,-28.802,116.157,28.34,57.6,0.074,,walking
53.100,73.309,-31.801,134.618,28.34,57.6,0.074,,walking
53.200,52.663,-29.938,7.317,28.33,57.6,0.074,,walking
53.300,33.725,-28.734,-66.687,28.31,57.6,0.074,,walking
53.400,16.542,-27.249,-96.591,28.30,57.6,0.074,,walking
53.500,4.077,-24.787,-118.596,28.28,57.6,0.074,,walking
53.600,-9.294,-17.120,-113.324,28.27,57.6,0.074,,walking
53.700,-24.052,-10.099,4.552,28.26,57.6,0.074,,walking
53.800,-7.134,-8.572,53.632,28.25,57.6,0.074,,walking
53.900,39.052,-9.138,14.681,28.25,57.6,0.074,,walking
54.000,68.499,-20.670,-36.230,28.24,57.6,0.074,,walking
54.100,81.484,-27.143,52.140,28.24,57.6,0.074,,walking
54.200,85.769,-34.221,87.281,28.24,57.6,0.074,,walking
54.300,78.307,-31.224,109.339,28.24,57.6,0.074,,walking
54.400,68.437,-32.982,132.627,28.23,57.6,0.074,,walking
54.500,54.489,-35.874,10.594,28.22,57.6,0.074,,walking
54.600,34.839,-36.568,-64.431,28.22,57.6,0.074,,walking
54.700,17.767,-37.215,-94.954,28.21,57.6,0.074,,walking
54.800,7.999,-36.073,-116.541,28.20,57.6,0.074,,walking
54.900,6.123,-31.656,-59.318,28.20,57.6,0.074,,walking
55.000,10.165,-27.199,47.368,28.19,57.6,0.074,,walking
55.100,32.983,-26.947,90.083,28.19,57.6,0.074,,walking
55.200,58.566,-32.521,109.818,28.19,57.6,0.074,,walking
55.300,73.500,-34.642,114.100,28.19,57.6,0.074,,walking
55.400,72.873,-37.083,115.955,28.19,57.6,0.074,,walking
55.500,73.682,-33.415,122.241,28.18,57.6,0.074,,walking
55.600,70.168,-34.587,133.200,28.18,57.6,0.074,,walking
55.700,55.295,-36.174,53.814,28.17,57.6,0.074,,walking
55.800,39.582,-35.105,-49.345,28.17,57.6,0.074,,walking
55.900,22.941,-34.187,-90.099,28.16,57.6,0.074,,walking
56.000,11.231,-35.145,-107.697,28.16,57.6,0.074,,walking
56.100,5.527,-33.537,-128.892,28.15,57.6,0.074,,walking
56.200,7.048,-30.256,13.072,28.15,57.6,0.074,,walking
56.300,24.076,-33.039,78.183,28.14,57.6,0.074,,walking
56.400,55.083,-37.179,95.290,28.14,57.6,0.074,,walking
56.500,65.143,-45.609,91.131,28.14,57.6,0.074,,walking
56.600,68.788,-49.646,90.106,28.14,57.6,0.074,,walking
56.700,67.447,-45.740,101.038,28.14,57.6,0.074,,walking
56.800,73.687,-42.749,114.622,28.13,57.6,0.074,,walking
56.900,70.532,-42.500,130.069,28.13,57.6,0.074,,walking
57.000,57.171,-33.805,133.408,28.13,57.6,0.074,,walking
57.100,42.025,-25.067,-27.499,28.13,57.6,0.074,,walking
57.200,25.330,-15.344,-91.557,28.13,57.6,0.074,,walking
57.300,9.276,-8.701,-118.638,28.13,57.6,0.074,,walking
57.400,-7.562,-3.253,-136.039,28.13,57.6,0.074,,walking
57.500,-10.868,-2.914,21.059,28.13,57.6,0.074,,walking
57.600,6.840,-6.962,83.745,28.13,57.6,0.074,,walking
57.700,38.747,-9.076,117.195,28.13,57.6,0.074,,walking
57.800,65.613,-13.538,136.665,28.13,57.6,0.074,,walking
57.900,87.323,-18.550,137.042,28.13,57.6,0.074,,walking
58.000,87.700,-18.391,135.252,28.13,57.6,0.074,,walking
58.100,85.331,-24.796,138.458,28.12,57.6,0.074,,walking
58.200,83.082,-23.649,148.361,28.12,57.6,0.074,,walking
58.300,61.469,-19.853,15.643,28.11,57.6,0.074,,walking
58.400,40.043,-15.035,-72.376,28.10,57.6,0.074,,walking
58.500,18.686,-15.634,-108.576,28.10,57.6,0.074,,walking
58.600,4.838,-15.508,-127.688,28.10,57.6,0.074,,walking
58.700,0.507,-10.990,-48.470,28.10,57.6,0.074,,walking
58.800,5.209,-5.111,48.488,28.09,57.6,0.074,,walking
58.900,35.553,-8.513,83.860,28.10,57.6,0.074,,walking
59.000,61.743,-20.178,101.239,28.10,57.6,0.074,,walking
59.100,81.374,-33.621,103.552,28.10,57.6,0.074,,walking
